ds,y,T,RH,NO2(GT)
2005-03-21 15:00:00,2.1,23.8,33.4,135.0
2005-03-21 16:00:00,2.0,22.8,35.3,131.0
2005-03-21 17:00:00,2.6,22.8,34.9,153.0
2005-03-21 18:00:00,4.5,20.9,39.3,198.0
2005-03-21 19:00:00,6.4,18.6,46.4,232.0
2005-03-21 20:00:00,6.0,17.2,52.7,224.0
2005-03-21 21:00:00,3.8,15.3,61.0,183.0
2005-03-21 22:00:00,2.1,14.2,65.4,144.0
2005-03-21 23:00:00,1.2,13.8,65.2,117.0
2005-03-22 00:00:00,1.3,13.3,65.6,106.0
2005-03-22 01:00:00,1.5,12.6,67.9,121.0
2005-03-22 02:00:00,0.9,12.8,64.5,87.0
2005-03-22 03:00:00,0.7,12.8,63.6,62.0
2005-03-22 04:00:00,0.5,12.0,65.2,70.0
2005-03-22 05:00:00,0.6,10.6,70.8,66.0
2005-03-22 06:00:00,0.7,10.9,69.2,88.0
2005-03-22 07:00:00,0.9,10.3,70.9,93.0
2005-03-22 08:00:00,2.2,11.8,66.3,116.0
2005-03-22 09:00:00,4.7,14.1,58.9,151.0
2005-03-22 10:00:00,4.5,16.5,51.6,169.0
2005-03-22 11:00:00,3.1,20.2,42.1,166.0
2005-03-22 12:00:00,2.8,21.7,39.0,160.0
2005-03-22 13:00:00,2.4,23.5,35.0,145.0
2005-03-22 14:00:00,2.5,23.5,34.2,131.0
2005-03-22 15:00:00,2.0,25.5,28.3,130.0
2005-03-22 16:00:00,1.7,25.5,24.7,122.0
2005-03-22 17:00:00,1.7,22.9,29.2,113.0
2005-03-22 18:00:00,3.3,21.3,32.9,156.0
2005-03-22 19:00:00,4.5,20.1,42.4,198.0
2005-03-22 20:00:00,5.8,18.6,46.6,175.0
2005-03-22 21:00:00,4.3,17.4,50.6,141.0
2005-03-22 22:00:00,3.0,16.4,57.2,101.0
2005-03-22 23:00:00,2.8,16.3,59.4,102.0
2005-03-23 00:00:00,2.7,16.0,60.2,119.0
2005-03-23 01:00:00,2.4,15.6,61.6,110.0
2005-03-23 02:00:00,2.2,15.4,62.0,87.0
2005-03-23 03:00:00,2.0,15.2,63.5,66.0
2005-03-23 04:00:00,1.25,14.5,66.4,65.0
2005-03-23 05:00:00,0.5,15.0,64.8,63.0
2005-03-23 06:00:00,0.7,14.2,68.3,71.0
2005-03-23 07:00:00,1.2,14.0,68.6,103.0
2005-03-23 08:00:00,3.9,15.4,63.4,144.0
2005-03-23 09:00:00,4.9,17.8,53.3,158.0
2005-03-23 10:00:00,4.6,19.4,47.5,169.0
2005-03-23 11:00:00,3.4,21.4,38.7,184.0
2005-03-23 12:00:00,2.0,22.9,29.3,143.0
2005-03-23 13:00:00,1.9,24.2,26.5,133.0
2005-03-23 14:00:00,2.4,24.5,23.1,141.0
2005-03-23 15:00:00,2.4,23.1,22.8,153.0
2005-03-23 16:00:00,2.2,23.3,23.8,149.0
2005-03-23 17:00:00,2.5,23.2,23.3,159.0
2005-03-23 18:00:00,3.9,22.7,25.5,181.0
2005-03-23 19:00:00,6.2,21.0,29.2,227.0
2005-03-23 20:00:00,7.2,19.5,35.6,230.0
2005-03-23 21:00:00,3.9,18.8,37.3,194.0
2005-03-23 22:00:00,2.4,17.7,39.7,172.0
2005-03-23 23:00:00,2.3,16.7,45.2,158.0
2005-03-24 00:00:00,1.9,15.9,47.0,144.0
2005-03-24 01:00:00,1.7,15.1,50.2,133.0
2005-03-24 02:00:00,0.9,15.3,49.2,109.0
2005-03-24 03:00:00,0.7,13.1,56.1,94.0
2005-03-24 04:00:00,0.5,13.3,54.4,73.0
2005-03-24 05:00:00,0.4,12.4,58.3,76.0
2005-03-24 06:00:00,0.4,12.9,56.0,74.0
2005-03-24 07:00:00,0.7,11.9,59.6,73.0
2005-03-24 08:00:00,3.1,13.4,55.1,107.0
2005-03-24 09:00:00,3.4,16.1,46.4,115.0
2005-03-24 10:00:00,3.5,17.9,42.2,132.0
2005-03-24 11:00:00,3.2,18.2,43.2,155.0
2005-03-24 12:00:00,3.2,16.0,67.9,140.0
2005-03-24 13:00:00,3.3,17.6,59.7,147.0
2005-03-24 14:00:00,3.0,20.9,43.4,161.0
2005-03-24 15:00:00,2.0,24.1,33.3,123.0
2005-03-24 16:00:00,2.3,22.9,35.2,142.0
2005-03-24 17:00:00,2.2,22.2,36.2,143.0
2005-03-24 18:00:00,2.7,21.3,37.8,153.0
2005-03-24 19:00:00,5.9,20.1,43.2,200.0
2005-03-24 20:00:00,7.5,18.8,49.1,232.0
2005-03-24 21:00:00,5.0,18.2,52.2,201.0
2005-03-24 22:00:00,4.0,17.4,57.3,175.0
2005-03-24 23:00:00,2.7,17.0,56.6,159.0
2005-03-25 00:00:00,2.0,16.2,66.3,135.0
2005-03-25 01:00:00,1.5,15.3,73.3,128.0
2005-03-25 02:00:00,1.0,15.2,73.3,109.0
2005-03-25 03:00:00,1.0,13.9,80.4,101.0
2005-03-25 04:00:00,0.9,13.6,82.8,96.0
2005-03-25 05:00:00,0.8,13.7,82.0,87.0
2005-03-25 06:00:00,0.6,13.7,78.0,81.0
2005-03-25 07:00:00,1.0,14.1,75.5,100.0
2005-03-25 08:00:00,3.2,14.8,73.6,146.0
2005-03-25 09:00:00,4.3,16.0,67.8,158.0
2005-03-25 10:00:00,2.7,18.4,59.2,136.0
2005-03-25 11:00:00,1.6,20.4,50.5,117.0
2005-03-25 12:00:00,1.4,21.3,46.6,140.0
2005-03-25 13:00:00,2.3,20.4,49.8,169.0
2005-03-25 14:00:00,2.1,21.1,47.8,163.0
2005-03-25 15:00:00,1.4,21.5,47.8,144.0
2005-03-25 16:00:00,3.4,21.7,47.4,153.0
2005-03-25 17:00:00,3.8,21.0,49.8,164.0
2005-03-25 18:00:00,4.9,20.4,51.9,174.0
2005-03-25 19:00:00,5.7,19.4,56.3,196.0
2005-03-25 20:00:00,5.5,18.8,58.3,189.0
2005-03-25 21:00:00,3.9,18.2,61.0,155.0
2005-03-25 22:00:00,3.1,17.7,63.3,137.0
2005-03-25 23:00:00,2.0,17.7,63.5,117.0
2005-03-26 00:00:00,2.5,17.1,66.9,128.0
2005-03-26 01:00:00,2.2,16.8,69.0,124.0
2005-03-26 02:00:00,1.5,16.6,70.0,108.0
2005-03-26 03:00:00,1.2,16.1,71.3,89.0
2005-03-26 04:00:00,1.0,16.2,71.2,92.0
2005-03-26 05:00:00,0.8,16.3,69.8,84.0
2005-03-26 06:00:00,0.1,16.1,70.0,83.0
2005-03-26 07:00:00,1.1,16.1,69.5,80.0
2005-03-26 08:00:00,1.7,16.5,68.1,93.0
2005-03-26 09:00:00,2.1,17.4,65.0,106.0
2005-03-26 10:00:00,2.3,18.4,60.2,115.0
2005-03-26 11:00:00,2.1,19.1,57.5,124.0
2005-03-26 12:00:00,1.9,21.2,48.4,113.0
2005-03-26 13:00:00,1.7,22.3,43.9,104.0
2005-03-26 14:00:00,1.3,23.7,39.4,85.0
2005-03-26 15:00:00,1.3,23.1,41.2,94.0
2005-03-26 16:00:00,1.6,25.7,35.7,99.0
2005-03-26 17:00:00,2.2,24.3,38.4,112.0
2005-03-26 18:00:00,2.3,21.9,45.1,122.0
2005-03-26 19:00:00,2.2,19.7,51.8,119.0
2005-03-26 20:00:00,2.0,18.7,54.5,119.0
2005-03-26 21:00:00,2.3,17.8,58.1,127.0
2005-03-26 22:00:00,2.2,17.3,60.8,126.0
2005-03-26 23:00:00,1.6,16.5,63.8,111.0
2005-03-27 00:00:00,1.6,16.3,65.2,102.0
2005-03-27 01:00:00,1.3,16.5,63.8,93.0
2005-03-27 02:00:00,1.0,16.6,63.0,78.0
2005-03-27 03:00:00,1.0,16.2,64.3,74.0
2005-03-27 04:00:00,1.0,15.9,65.1,68.0
2005-03-27 05:00:00,0.8,15.8,65.4,68.0
2005-03-27 06:00:00,0.7,15.8,65.9,61.0
2005-03-27 07:00:00,1.1,15.6,67.7,76.0
2005-03-27 08:00:00,1.1,15.2,71.5,78.0
2005-03-27 09:00:00,1.1,14.5,80.8,79.0
2005-03-27 10:00:00,1.4,15.2,81.4,90.0
2005-03-27 11:00:00,1.3,15.9,77.3,89.0
2005-03-27 12:00:00,1.5,17.5,67.1,97.0
2005-03-27 13:00:00,1.3,18.1,62.8,91.0
2005-03-27 14:00:00,0.8,18.6,62.1,62.0
2005-03-27 15:00:00,0.9,16.2,71.9,66.0
2005-03-27 16:00:00,1.4,15.4,75.2,104.0
2005-03-27 17:00:00,1.8,14.4,80.8,126.0
2005-03-27 18:00:00,1.6,13.8,83.5,122.0
2005-03-27 19:00:00,1.8,13.9,83.6,121.0
2005-03-27 20:00:00,2.1,14.2,82.3,126.0
2005-03-27 21:00:00,1.9,14.1,81.4,115.0
2005-03-27 22:00:00,1.7,14.4,79.0,116.0
2005-03-27 23:00:00,1.9,14.6,77.7,120.0
2005-03-28 00:00:00,1.6,14.4,78.6,111.0
2005-03-28 01:00:00,1.2,14.4,78.0,101.0
2005-03-28 02:00:00,1.0,14.1,79.1,92.0
2005-03-28 03:00:00,1.0,13.7,80.6,78.0
2005-03-28 04:00:00,0.8,13.9,79.6,63.0
2005-03-28 05:00:00,0.6,13.8,79.0,63.0
2005-03-28 06:00:00,0.6,13.9,78.0,63.0
2005-03-28 07:00:00,1.0,14.1,77.8,84.0
2005-03-28 08:00:00,1.0,15.0,73.2,89.0
2005-03-28 09:00:00,1.3,16.4,67.3,101.0
2005-03-28 10:00:00,1.5,17.8,61.7,115.0
2005-03-28 11:00:00,1.6,20.8,50.4,111.0
2005-03-28 12:00:00,1.4,21.6,46.8,96.0
2005-03-28 13:00:00,1.4,23.1,41.3,87.0
2005-03-28 14:00:00,1.2,23.6,39.4,81.0
2005-03-28 15:00:00,1.3,25.1,34.0,85.0
2005-03-28 16:00:00,1.4,24.7,35.6,98.0
2005-03-28 17:00:00,1.6,24.2,38.1,109.0
2005-03-28 18:00:00,2.8,22.7,42.4,150.0
2005-03-28 19:00:00,3.7,19.6,47.8,175.0
2005-03-28 20:00:00,2.9,17.6,54.4,157.0
2005-03-28 21:00:00,1.8,16.2,60.6,130.0
2005-03-28 22:00:00,1.6,15.2,65.8,120.0
2005-03-28 23:00:00,1.7,14.5,68.9,114.0
2005-03-29 00:00:00,1.5,14.3,68.5,100.0
2005-03-29 01:00:00,1.0,14.7,66.4,83.0
2005-03-29 02:00:00,0.8,13.4,70.4,72.0
2005-03-29 03:00:00,0.5,14.2,65.1,51.0
2005-03-29 04:00:00,0.5,13.7,68.2,46.0
2005-03-29 05:00:00,0.5,13.7,67.8,58.0
2005-03-29 06:00:00,1.0,12.9,71.8,86.0
2005-03-29 07:00:00,3.0,13.2,69.9,122.0
2005-03-29 08:00:00,5.1,14.4,65.8,140.0
2005-03-29 09:00:00,4.3,15.3,63.3,146.0
2005-03-29 10:00:00,3.3,17.7,55.6,152.0
2005-03-29 11:00:00,2.4,19.6,49.4,147.0
2005-03-29 12:00:00,2.4,18.1,58.3,134.0
2005-03-29 13:00:00,2.5,18.0,57.9,136.0
2005-03-29 14:00:00,2.3,18.6,55.0,142.0
2005-03-29 15:00:00,2.7,18.3,57.9,153.0
2005-03-29 16:00:00,2.7,18.3,54.8,153.0
2005-03-29 17:00:00,3.3,18.3,53.9,155.0
2005-03-29 18:00:00,3.9,18.5,54.6,181.0
2005-03-29 19:00:00,2.6,17.1,61.5,151.0
2005-03-29 20:00:00,3.2,16.4,62.5,159.0
2005-03-29 21:00:00,2.3,15.2,64.2,151.0
2005-03-29 22:00:00,1.4,14.6,67.3,127.0
2005-03-29 23:00:00,1.1,13.5,70.8,107.0
2005-03-30 00:00:00,1.2,13.0,71.9,101.0
2005-03-30 01:00:00,0.9,13.0,70.2,80.0
2005-03-30 02:00:00,0.7,11.6,74.9,68.0
2005-03-30 03:00:00,0.5,12.5,67.4,61.0
2005-03-30 04:00:00,0.4,11.5,71.5,56.0
2005-03-30 05:00:00,0.5,10.2,77.9,70.0
2005-03-30 06:00:00,0.8,11.0,73.1,78.0
2005-03-30 07:00:00,2.3,10.7,73.6,106.0
2005-03-30 08:00:00,2.9,12.1,67.3,117.0
2005-03-30 09:00:00,3.1,15.1,58.6,144.0
2005-03-30 10:00:00,2.7,18.6,49.5,158.0
2005-03-30 11:00:00,1.8,20.9,42.5,137.0
2005-03-30 12:00:00,1.9,23.6,34.8,130.0
2005-03-30 13:00:00,1.8,25.6,28.5,125.0
2005-03-30 14:00:00,1.8,26.1,26.3,124.0
2005-03-30 15:00:00,1.8,26.6,24.9,125.0
2005-03-30 16:00:00,1.7,25.1,28.5,135.0
2005-03-30 17:00:00,3.2,24.1,32.1,179.0
2005-03-30 18:00:00,3.4,21.5,39.1,183.0
2005-03-30 19:00:00,4.2,19.3,46.2,193.0
2005-03-30 20:00:00,3.5,18.2,52.6,185.0
2005-03-30 21:00:00,2.0,16.8,58.2,147.0
2005-03-30 22:00:00,1.4,16.0,61.9,117.0
2005-03-30 23:00:00,1.5,15.3,65.4,112.0
2005-03-31 00:00:00,1.2,14.5,67.8,101.0
2005-03-31 01:00:00,1.1,14.2,68.6,93.0
2005-03-31 02:00:00,0.7,13.9,68.7,64.0
2005-03-31 03:00:00,0.6,13.1,72.5,61.0
2005-03-31 04:00:00,0.5,12.9,72.7,54.0
2005-03-31 05:00:00,0.6,12.3,74.2,64.0
2005-03-31 06:00:00,0.9,12.6,71.5,80.0
2005-03-31 07:00:00,4.0,12.7,69.6,133.0
2005-03-31 08:00:00,4.1,16.8,51.6,170.0
2005-03-31 09:00:00,1.9,20.3,40.1,139.0
2005-03-31 10:00:00,1.3,21.0,37.3,124.0
2005-03-31 11:00:00,1.2,21.0,36.9,118.0
2005-03-31 12:00:00,1.2,22.8,33.0,108.0
2005-03-31 13:00:00,1.2,24.0,30.3,100.0
2005-03-31 14:00:00,0.9,22.6,33.2,91.0
2005-03-31 15:00:00,1.0,22.5,32.9,89.0
2005-03-31 16:00:00,1.1,21.5,33.8,102.0
2005-03-31 17:00:00,1.5,21.4,36.4,114.0
2005-03-31 18:00:00,2.1,20.0,38.9,124.0
2005-03-31 19:00:00,2.1,17.8,45.2,136.0
2005-03-31 20:00:00,1.5,16.3,47.3,118.0
2005-03-31 21:00:00,1.0,16.3,44.8,93.0
2005-03-31 22:00:00,0.8,15.6,47.1,72.0
2005-03-31 23:00:00,0.8,15.1,47.6,69.0
2005-04-01 00:00:00,0.7,15.1,44.5,61.0
2005-04-01 01:00:00,0.6,14.6,43.0,50.0
2005-04-01 02:00:00,0.5,14.5,43.7,35.0
2005-04-01 03:00:00,0.5,13.6,46.7,29.0
2005-04-01 04:00:00,0.5,13.7,48.8,41.0
2005-04-01 05:00:00,0.5,13.5,50.6,66.0
2005-04-01 06:00:00,0.6,13.7,47.4,89.0
2005-04-01 07:00:00,1.5,13.7,45.9,150.0
2005-04-01 08:00:00,1.9,16.1,41.0,150.0
2005-04-01 09:00:00,1.3,16.1,41.5,127.0
2005-04-01 10:00:00,1.0,16.5,40.8,120.0
2005-04-01 11:00:00,1.0,18.9,33.8,123.0
2005-04-01 12:00:00,1.1,19.2,29.5,115.0
2005-04-01 13:00:00,1.3,19.9,26.3,122.0
2005-04-01 14:00:00,1.0,19.2,27.0,111.0
2005-04-01 15:00:00,1.1,19.4,25.3,119.0
2005-04-01 16:00:00,1.4,18.9,26.2,137.0
2005-04-01 17:00:00,1.5,19.3,24.7,147.0
2005-04-01 18:00:00,1.6,17.1,25.3,154.0
2005-04-01 19:00:00,2.2,15.6,26.2,160.0
2005-04-01 20:00:00,1.4,13.8,30.6,134.0
2005-04-01 21:00:00,0.9,13.1,31.7,110.0
2005-04-01 22:00:00,0.8,13.2,31.8,99.0
2005-04-01 23:00:00,1.1,13.6,30.8,127.0
2005-04-02 00:00:00,1.5,13.1,32.0,174.0
2005-04-02 01:00:00,1.1,12.7,33.6,127.0
2005-04-02 02:00:00,0.6,12.2,35.6,81.0
2005-04-02 03:00:00,0.5,11.9,35.6,70.0
2005-04-02 04:00:00,0.4,11.2,38.3,49.0
2005-04-02 05:00:00,0.4,11.0,40.5,44.0
2005-04-02 06:00:00,0.6,10.7,42.8,107.0
2005-04-02 07:00:00,0.9,11.1,43.3,141.0
2005-04-02 08:00:00,0.9,14.2,36.9,121.0
2005-04-02 09:00:00,0.8,15.6,33.3,103.0
2005-04-02 10:00:00,1.0,16.3,30.0,102.0
2005-04-02 11:00:00,0.8,17.0,26.1,95.0
2005-04-02 12:00:00,0.8,19.3,22.3,93.0
2005-04-02 13:00:00,1.0,20.5,21.9,95.0
2005-04-02 14:00:00,0.8,22.0,20.2,80.0
2005-04-02 15:00:00,0.8,21.7,20.9,81.0
2005-04-02 16:00:00,0.9,21.6,20.8,106.0
2005-04-02 17:00:00,1.1,21.0,22.3,113.0
2005-04-02 18:00:00,1.1,18.6,26.6,117.0
2005-04-02 19:00:00,1.2,15.5,33.9,124.0
2005-04-02 20:00:00,1.1,14.3,38.0,122.0
2005-04-02 21:00:00,0.8,13.5,39.4,87.0
2005-04-02 22:00:00,0.7,13.1,41.3,79.0
2005-04-02 23:00:00,0.7,13.5,37.8,93.0
2005-04-03 00:00:00,0.8,13.5,37.4,102.0
2005-04-03 01:00:00,0.8,12.7,40.8,86.0
2005-04-03 02:00:00,0.7,12.0,44.2,77.0
2005-04-03 03:00:00,0.8,10.5,48.7,88.0
2005-04-03 04:00:00,0.5,10.1,49.7,64.0
2005-04-03 05:00:00,0.3,9.6,51.0,46.0
2005-04-03 06:00:00,0.4,9.1,52.4,55.0
2005-04-03 07:00:00,0.6,8.9,52.7,84.0
2005-04-03 08:00:00,0.7,13.5,40.0,89.0
2005-04-03 09:00:00,1.2,17.8,30.7,118.0
2005-04-03 10:00:00,1.4,21.1,23.7,113.0
2005-04-03 11:00:00,1.3,24.0,19.3,115.0
2005-04-03 12:00:00,1.4,26.5,16.4,124.0
2005-04-03 13:00:00,1.0,28.7,13.7,86.0
2005-04-03 14:00:00,1.0,28.5,13.1,87.0
2005-04-03 15:00:00,1.1,30.0,11.1,100.0
2005-04-03 16:00:00,1.3,29.4,10.4,132.0
2005-04-03 17:00:00,1.4,28.9,9.9,156.0
2005-04-03 18:00:00,1.2,22.8,21.7,138.0
2005-04-03 19:00:00,2.7,19.9,33.0,181.0
2005-04-03 20:00:00,2.5,17.5,40.7,187.0
2005-04-03 21:00:00,1.5,16.4,46.6,158.0
2005-04-03 22:00:00,1.6,15.5,49.0,153.0
2005-04-03 23:00:00,1.2,14.3,52.5,128.0
2005-04-04 00:00:00,0.9,14.2,51.4,93.0
2005-04-04 01:00:00,0.6,13.8,51.2,58.0
2005-04-04 02:00:00,0.5,12.1,56.3,55.0
2005-04-04 03:00:00,0.4,11.3,58.9,51.0
2005-04-04 04:00:00,0.45,11.8,56.0,43.0
2005-04-04 05:00:00,0.5,10.4,59.9,53.0
2005-04-04 06:00:00,1.1,9.5,63.1,93.0
2005-04-04 07:00:00,4.0,9.7,61.9,155.0
2005-04-04 08:00:00,5.0,13.5,48.9,174.0
2005-04-04 09:00:00,3.9,18.2,36.3,187.0
2005-04-04 10:00:00,3.1,21.9,29.3,190.0
2005-04-04 11:00:00,2.4,24.3,23.7,179.0
2005-04-04 12:00:00,2.4,26.9,18.3,175.0
2005-04-04 13:00:00,2.1,28.3,13.5,156.0
2005-04-04 14:00:00,2.2,28.5,13.1,168.0
